상호명,지점명,상권업종소분류명,시도명,시군구명,행정동명,경도,위도
간단하지만특별한화피디Cafe,카그뮤지컬예당점,커피전문점/카페/다방,서울특별시,서초구,서초3동,127.0123471,37.48066733
이디아,,커피전문점/카페/다방,서울특별시,마포구,상암동,126.8908284,37.57739695
월드컵공원연못카페테리아,,커피전문점/카페/다방,서울특별시,마포구,성산2동,126.897886,37.56326275
커피빈,코리아대치한티점,커피전문점/카페/다방,서울특별시,강남구,대치4동,127.0541518,37.49829169
대지다방,,커피전문점/카페/다방,서울특별시,은평구,대조동,126.9279008,37.61242927
커피빈,코리아삼성생명강남사옥점,커피전문점/카페/다방,서울특별시,서초구,서초2동,127.0256838,37.49673577
베이커스보이,,커피전문점/카페/다방,서울특별시,서초구,반포3동,127.006958,37.51024881
성유엔터프라이즈,미아점,커피전문점/카페/다방,서울특별시,성북구,길음2동,127.0287256,37.60839154
투썸플레이스,예금보험공사점,커피전문점/카페/다방,서울특별시,중구,명동,126.9807834,37.56849471
테라코타커피,,커피전문점/카페/다방,서울특별시,강남구,압구정동,127.0311486,37.52192011
착한카페,,커피전문점/카페/다방,서울특별시,강남구,역삼2동,127.0404305,37.49411726
커피의향기,,커피전문점/카페/다방,서울특별시,강남구,대치1동,127.0603848,37.49365593
커피마마,아차산우리집점,커피전문점/카페/다방,서울특별시,광진구,중곡2동,127.0876045,37.55777211
꽃동산까페,,커피전문점/카페/다방,서울특별시,노원구,상계2동,127.0678972,37.65414678
카페잠실다방,,커피전문점/카페/다방,서울특별시,송파구,잠실6동,127.1022114,37.51666986
커피빈,코리아공항터미널2호점,커피전문점/카페/다방,서울특별시,강남구,삼성1동,127.0594268,37.50962404
카페하랑,,커피전문점/카페/다방,서울특별시,중구,명동,126.9871812,37.5641617
커피빈,코리아대치은마점,커피전문점/카페/다방,서울특별시,강남구,대치2동,127.0688065,37.49756112
커피빈,코리아명동증권빌딩점,커피전문점/카페/다방,서울특별시,중구,명동,126.9839527,37.5643412
탐앤탐스천호로데오점,천호로데오점,커피전문점/카페/다방,서울특별시,강동구,천호2동,127.1267634,37.53859645
엔제리너스,도심공항터미널점,커피전문점/카페/다방,서울특별시,강남구,삼성1동,127.0594268,37.50962404
쉐프스카페테리아,,커피전문점/카페/다방,서울특별시,광진구,구의3동,127.0935019,37.53903961
커피와문화,,커피전문점/카페/다방,서울특별시,강남구,대치4동,127.0576722,37.50343782
티모시스커피코리아,,커피전문점/카페/다방,서울특별시,강남구,대치4동,127.0506175,37.50411119
